BIO_PRS_IDE;BIO_INF_LIB;BIO_CRE_DAT;BIO_SUP_DAT;BIO_ARB_CHA;BIO_ARB_SC1;BIO_ARB_SC2;BIO_ARB_SC3;BIO_ARB_SC4;BIO_ARB_BAS;BIO_PHY_GRP;BIO_GRP_LIB;BIO_HIS_DTD;BIO_HIS_DTF;BIO_ENP_TOP;BIO_TUX_TOP;BIO_MAX_EXE;BIO_SPE_REG;BIO_MAX_REG;BIO_MED_REF;BIO_RES_TOP;BIO_BIO_INV;BIO_SNG_TOP;BIO_TAR_NAT;BIO_TAR_COF
255;EX MYCO ISOLE CHAMPIGNON EXOTIQUE EX DIRECT ET CULTURE;01JAN1996:00:00:00;;6;4;0;0;0;5.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;100.00
256;EX MYCO ISOLE CHAMPIGNON EXOTIQUE SUR COUPE D'ORGANE;01JAN1996:00:00:00;;6;4;0;0;0;6.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;75.00
257;EX MYCO ISOLE CHAMPIGNON EXOTIQUE : INOCUL A ANIMAL ET RETROCULTURE;01JAN1996:00:00:00;;6;4;0;0;0;7.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;500.00
259;EX. PARASITO. SELLES EMISES AU LABO (PROTOZOAIRES);01JAN1996:00:00:00;;6;5;0;0;0;3.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;50.00
262;AMIBES : RECH. DANS MUCUS RECUEILLI SOUS RECTOSCOPIE;01JAN1996:00:00:00;;6;5;0;0;0;7.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;50.00
263;OEUFS D'HELMINTHES  :MARGE DE  L'ANUS (SCOTCH TEST);01JAN1996:00:00:00;;6;5;0;0;0;8.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;10.00
264;LARVES D'ANGUILLULES (BAERMANN) : RECHERCHE DANS SELLES;01JAN1996:00:00:00;;6;5;0;0;0;9.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;25.00
266;OEUFS DE BILHARZIES : RECHERCHE;01JAN1996:00:00:00;;6;5;0;0;0;10.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;25.00
267;PARASITES : RECH. ET/OU IDENTIF. PAR EX. MACRO. ET/OU MICRO.(DEMODEX);01JAN1996:00:00:00;;6;5;0;0;0;11.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;10.00
268;PARASITES : EX. DIRECT ET/OU ENRICHISSEMENT SAUF DANS SANG ET SELLES;01JAN1996:00:00:00;;6;5;0;0;0;12.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;30.00
269;ANTIBIOGRAMME BACTERIE AEROBIE (SAUF MYCOPLASME) (ATB);01JAN1996:00:00:00;;6;6;0;0;0;1.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;;;1;;B;40.00
270;ANTIBIOGRAMME BACTERIE ANAEROBIE (SAUF MYCOPLASME) (ATB);01JAN1996:00:00:00;;6;6;0;0;0;2.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;;;1;;B;60.00
271;ANTIBIOGRAMME CHAMPIGNON (FONGIGRAMME) (ATB , FG);01JAN1996:00:00:00;;6;6;0;0;0;3.000000;90;AUTRES (tous les autres codes);12OCT1997:00:00:00;;;;0;;0;;;1;;B;40.00
274;MYCOBACTERIE : SENSIBILITE VIS A VIS D'UN ANTIBIO PAR ANTIBIO;01JAN1996:00:00:00;;6;6;0;0;0;9.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;5;;0;;;1;;B;60.00
277;POUVOIR BACTERICIDE DES ANTIBIOTIQUES ET ASSOC PAR ANTIBIOTIQUE;01JAN1996:00:00:00;;6;6;0;0;0;12.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;40.00
280;EX. MYCO ISOLE : IDENTIF.D'ESPECE D'UN CHAMPIGNON AUTRE QUE C. ALBICANS;01JAN1996:00:00:00;;6;4;0;0;0;3.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;50.00
1245;LEPTOSPIROSES : SERODIAGNOSTIC DE DEPISTAGE;20SEP2005:00:00:00;04SEP2014:00:00:00;7;4;0;0;0;17.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;04SEP2014:00:00:00;;;1;;0;;;;1;B;30.00
1246;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGG PAR EIA;20SEP2005:00:00:00;;7;4;0;0;0;21.000000;90;AUTRES (tous les autres codes);19JAN2010:00:00:00;;;;1;;0;;;;1;B;50.00
1247;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGM PAR EIA;20SEP2005:00:00:00;;7;4;0;0;0;23.000000;90;AUTRES (tous les autres codes);19JAN2010:00:00:00;;;;1;;0;1;;1;1;B;50.00
1248;FIEVRE Q (COXIELLA BURNETTI) : SERODIAGNOSTIC : TITRAGE AVEC UN ANTIGENE DE PHASE II (IFI);20SEP2005:00:00:00;;7;4;0;0;0;26.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;1;1;B;60.00
1249;FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET;20SEP2005:00:00:00;;7;4;0;0;0;28.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;120.00
1250;WESTERN  BLOT OU IMMUNO BLOT IG G                    LE BIOLOGISTE  REALISE  SYSTEMATIQUEMENT L'EXAM;20SEP2005:00:00:00;;7;4;0;0;0;40.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;1;;1;1;B;180.00
1251;WESTERN BLOT OU IMMUNO BLOT IG M  LA PRISE EN CHARGE EST LIMITEE A LA RECHERCHE CHEZ  L'ENFANT D'UN;20SEP2005:00:00:00;;7;4;0;0;0;42.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;1;;1;1;B;180.00
1252;MALADIE DES GRIFFES DU CHAT (BARTONELLOSES-INFECTIONS A BARTONELLA HENSELAE ET BARTONELLA QUINTANA);20SEP2005:00:00:00;;7;4;0;0;0;44.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;1;1;B;60.00
1253;ARBOVIROSES (AUTRES QUE LES INFECTIONS PAR LES VIRUS DE LA DENGUE OU DU CHIKUNGUNYA) RECHERCHE DE;25AUG2014:00:00:00;;7;6;0;0;0;8.000000;90;AUTRES (tous les autres codes);09AUG2017:00:00:00;;;;2;;0;1;;;1;B;90.00
1254;INFECTION PAR LE VIRUS DU CHIKUNGUNYA RECHERCHE DES IGM ET DES IGG PAR EIA A REALISER UNIQUEMENT E;25AUG2014:00:00:00;;19;0;0;0;0;8.000000;90;AUTRES (tous les autres codes);04SEP2014:00:00:00;;;;1;;0;1;;;1;B;90.00
1255;INFECTION PAR LES VIRUS DE LA DENGUE - RECHERCHE DES IGG ET DES IGM PAR EIA A REALISER UNIQUEMENT;25AUG2014:00:00:00;;19;0;0;0;0;12.000000;90;AUTRES (tous les autres codes);04SEP2014:00:00:00;;;;1;;0;1;;;1;B;90.00
1256;TEST TREPONEMIQUE (TT) : RECHERCHE DES IG  TOTAUX PAR  EIA LA PRISE EN CHARGE DE CET ACTE EST LIMITE;12JUN2018:00:00:00;;7;4;0;0;0;37.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;;;;1;B;20.00
1257;EN CAS D'ACTE 1256 POSITIF, TEST NON TREPONEMIQUE   (TNT) AVEC TITRAGE  (VDRL, RPR, ..) SI LE TEST 1;12JUN2018:00:00:00;;7;4;0;0;0;36.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;;;1;1;B;20.00
1258;EN CAS DE SUSPICION DE SEROCONVERSION,  NOUVEAU TNT;12JUN2018:00:00:00;;7;4;0;0;0;38.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;;;1;1;B;20.00
1259;EN CAS DE SUIVI THERAPEUTIQUE, TNT AVEC  TITRAGE :  EXAMEN PRECEDENT + EXAMEN ITERATIF LA PRISE EN C;12JUN2018:00:00:00;;7;4;0;0;0;39.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;1;;;1;B;30.00
1260;RECHERCHE D'ANTICORPS ANTI-CMV RECHERCHE DES IGG ET    DES IGM : DANS LES CONTEXTES SUIVANTS :  A)SU;18JAN2019:00:00:00;;19;0;0;0;0;27.000000;21;INFECTIONS A CMV;01FEB2019:00:00:00;;;;1;;0;1;;;1;B;85.00
1261;TEST DE MESURE D'AVIDITE DES IGG CHEZ LA FEMME  ENCEINTE, POUR DATER  L'INFECTION, LORS D'UNE  SUSP;18JAN2019:00:00:00;;19;0;0;0;0;28.000000;21;INFECTIONS A CMV;01FEB2019:00:00:00;;;;1;;0;1;;;1;B;100.00
1301;BORRELIOSE (LYME) : SERODIAGNOSTIC DE  DEPISTAGE DES ANTICORPS TOTAUX OU IGG  ET/OU IGM (IFI OU EIA;01JAN1996:00:00:00;;7;4;0;0;0;1.000000;90;AUTRES (tous les autres codes);07FEB2009:00:00:00;;;;2;;0;;;;1;B;60.00
1302;BORRELIOSE (LYME) : SERODIAGNOSTIC DE CONTROLE (WB OU RIPA OU IMMUNO-TRANSFERT);01JAN1996:00:00:00;;7;4;0;0;0;2.000000;90;AUTRES (tous les autres codes);11FEB2011:00:00:00;;;;1;;0;;;1;1;B;150.00
1305;BRUCELLOSES : SERODIAGNOSTIC (WRIGHT,  ROSE BENGALE);01JAN1996:00:00:00;;7;4;0;0;0;3.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;45.00
1307;SEROLOGIE DE CHLAMYDIA TRACHOMATIS (IGG CHEZ L'ADULTE OU IGM CHEZ LE NOUVEAU NE OU LE NOURRISSON).;01JAN1996:00:00:00;;19;0;0;0;0;4.000000;26;INFECTIONS A CHLAMYDIA;04NOV2011:00:00:00;;;;1;;0;1;;;1;B;40.00
1308;INFECTIONS PULMONAIRES A CHLAMYDIA  PNEUMONIAE : SERODIAGNOSTIC;01JAN1996:00:00:00;;7;4;0;0;0;6.000000;26;INFECTIONS A CHLAMYDIA;11DEC2005:00:00:00;;;;1;;0;;;;1;B;60.00
1309;INFECTIONS PULMONAIRES A CHLAMYDIA  PSITTACI : SERODIAGNOSTIC;01JAN1996:00:00:00;;7;4;0;0;0;8.000000;26;INFECTIONS A CHLAMYDIA;11DEC2005:00:00:00;;;;1;;0;;;;1;B;60.00
1310;INFECTIONS A CAMPYLOBACTER :  SERODIAGNOSTIC;01JAN1996:00:00:00;;7;4;0;0;0;10.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;30.00
1311;INFECTIONS A HELICOBACTER PYLORI :  SERODIAGNOSTIC;01JAN1996:00:00:00;;7;4;0;0;0;12.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;60.00
1312;LEPTOSPIROSES : SERODIAGNOSTIC :  TITRAGE PAR MICRO-AGGLUTINATION-LYSE AU  MOINS 9 ANTIGENES;01JAN1996:00:00:00;04SEP2014:00:00:00;7;4;0;0;0;18.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;04SEP2014:00:00:00;;;1;;0;;;1;1;B;120.00
1313;MYCOPLASMOSES RESPIRATOIRES :  SERODIAGNOSTIC AVEC ANTICORPS TOTAUX  PAR RFC OU AGG;01JAN1996:00:00:00;;7;4;0;0;0;19.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;30.00
1316;FIEVRE Q (COXIELLA BURNETTI) :  SERODIAGNOSTIC DE DEPISTAGE AVEC UN  ANTIGENE DE PHASE II (IFI);01JAN1996:00:00:00;;7;4;0;0;0;25.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;40.00
1317;RICKETTSIOSES (RICKETTSIA CONORII,  RICKETTSIA TYPHI) : SERODIAGNOSTIC DE  DEPISTAGE (IFI);01JAN1996:00:00:00;;7;4;0;0;0;30.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;40.00
1318;RICKETTSIOSES (RICKETTSIA CONORII,  RICKETTSIA TYPHI) : SERODIAGNOSTIC :  TITRAGE SUR AU MOINS 2 AN;01JAN1996:00:00:00;;7;4;0;0;0;31.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;1;1;B;60.00
1319;SALMONELLOSES : SD (TAB OU WIDAL ET FELIX);01JAN1996:00:00:00;;7;4;0;0;0;33.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;40.00
1323;STREPTOCOCCIES : UNE ANTI-ENZYME  STREPTOCOCCIQUE;01JAN1996:00:00:00;;7;4;0;0;0;34.000000;90;AUTRES (tous les autres codes);11FEB2011:00:00:00;;;;1;;0;;;;1;B;20.00
1324;STREPTOCOCCIES : ANTI-ENZYMES STREPTOCOCCIQUES (2 OU PLUSIEURS);01JAN1996:00:00:00;;7;4;0;0;0;35.000000;90;AUTRES (tous les autres codes);11FEB2011:00:00:00;;;;1;;0;;;;1;B;40.00
1326;SYPHILIS : SERODIAGNOSTIC DE DEPISTAGE;01JAN1996:00:00:00;29JUN2018:00:00:00;7;4;0;0;0;80.000000;24;SYPHILIS;11DEC2005:00:00:00;29JUN2018:00:00:00;;;1;;0;;;;1;B;20.00
1327;SYPHILIS : SERODIAGNOSTIC : TITRAGES;01JAN1996:00:00:00;29JUN2018:00:00:00;7;4;0;0;0;81.000000;24;SYPHILIS;11FEB2011:00:00:00;29JUN2018:00:00:00;;;1;;0;;;1;1;B;30.00
1330;RECHERCHE DES IG M CHEZ L'ENFANT PAR EIA LA PRISE EN    CHARGE DE L'ACTE 1330 EST LIMITEE A LA  RECH;01JAN1996:00:00:00;;7;4;0;0;0;41.000000;24;SYPHILIS;29JUN2018:00:00:00;;;;1;;0;1;;;1;B;30.00
1331;MALADIE DES GRIFFES DU CHAT  (BARTONELLOSES-INFECTIONS A BARTONELLA  HENSELAE ET BARTONELLA QUINTAN;01JAN1996:00:00:00;;7;4;0;0;0;43.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;40.00
1332;TETANOS : SERODIAGNOSTIC PAR EIA;01JAN1996:00:00:00;;7;4;0;0;0;46.000000;90;AUTRES (tous les autres codes);11FEB2011:00:00:00;;;;1;;0;;;;1;B;50.00
1333;TULAREMIE : SERODIAGNOSTIC PAR AGG;01JAN1996:00:00:00;;7;4;0;0;0;47.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;40.00
1334;YERSINIOSES : SERODIAGNOSTIC AVEC 1  SEUL ANTIGENE (AGG OU RFC);01JAN1996:00:00:00;;7;4;0;0;0;48.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;30.00
1335;YERSINIOSES : SERODIAGNOSTIC AVEC TROIS  ANTIGENES ET PLUS (AGG OU RFC);01JAN1996:00:00:00;;7;4;0;0;0;49.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;90.00
1336;LEGIONELLOSES : SERODIAGNOSTIC DE  DEPISTAGE;01JAN1996:00:00:00;;7;4;0;0;0;14.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;;;;1;B;60.00
1337;LEGIONELLOSES : SERODIAGNOSTIC :  TITRAGE AVEC SIX ANTIGENES ET PLUS;01JAN1996:00:00:00;;7;4;0;0;0;15.000000;90;AUTRES (tous les autres codes);11DEC2005:00:00:00;;;;1;;0;1;;;1;B;120.00
1339;COQUELUCHE : DIAGNOSTIC DES ANTICORPS ANTITOXINES DE BORDETELLA PERTUSSIS PAR TECHNIQUE D'IMMUNO-EM;01JAN1996:00:00:00;15MAR2011:00:00:00;7;4;0;0;0;4.000000;90;AUTRES (tous les autres codes);08FEB2009:00:00:00;15MAR2011:00:00:00;;;1;;0;;;;1;B;150.00
1374;VITAMINE B 12;01JAN1996:00:00:00;;12;0;0;0;0;28.000000;4;BIOCHIMIE COURANTE (en dehors des groupes);14APR2018:00:00:00;;;;1;;0;;;;1;B;40.00
1376;CICLOSPORINE APRES CHROMATOGRAPHIE (SANDIMMUN) (SANG);01JAN1996:00:00:00;;14;0;0;0;0;7.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;1;;0;;;;1;B;120.00
1377;DOSAGE D'UN AUTRE IMMUNOSUPPRESSEUR (TACROLIMUS,   SIROLIMUS, EVEROLIMUS...);07FEB2001:00:00:00;;14;0;0;0;0;8.000000;90;AUTRES (tous les autres codes);14APR2018:00:00:00;;;;1;;0;1;;;1;B;65.00
1385;IGA + IGG + IGM. L'EXAMEN 1385 PEUT ETRE EFFECTUE ET   COTE A L'INITIATIVE DU DIRECTEUR DE LABORATOI;01JAN1996:00:00:00;;12;0;0;0;0;20.000000;12;PROTEINES SERIQUES;14APR2018:00:00:00;;;;1;;0;;;1;1;B;60.00
1387;FOLATES SERIQUES OU ERYTHROCYTAIRES. UNE SEULE   COTATION PAR PATIENT.;01JAN1996:00:00:00;;12;0;0;0;0;29.000000;4;BIOCHIMIE COURANTE (en dehors des groupes);14APR2018:00:00:00;;;;1;;0;;;;1;B;40.00
1392;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE;30JUL1997:00:00:00;;12;0;0;0;0;24.000000;90;AUTRES (tous les autres codes);28JAN2004:00:00:00;;;;1;;0;;;;1;B;70.00
1393;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE;30JUL1997:00:00:00;;12;0;0;0;0;25.000000;90;AUTRES (tous les autres codes);28JAN2004:00:00:00;;;;1;;0;;;;1;B;130.00
1394;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES;30JUL1997:00:00:00;;12;0;0;0;0;26.000000;90;AUTRES (tous les autres codes);28JAN2004:00:00:00;;;;1;;0;;;;1;B;190.00
1414;TEST AU XYLOSE COMPRENANT UN MINIMUM DE DEUX DOSAGES SANGUINS. LE COMPTE RENDU DEVRA PRECISER L'EX;01JAN1996:00:00:00;;13;4;0;0;0;1.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;;1;B;60.00
1415;DETERMINATION DE LA CLAIRANCE DE L'ALPHA 1 ANTITRYPSINE, PAR DETERMINATION DES CONCENTRATIONS SERI;01JAN1996:00:00:00;;13;4;0;0;0;3.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;;1;B;100.00
1416;DOSAGE DE L'ALPHA 1 ANTITRYPSINE  FECALE. LE LABORATOIRE QUI EXECUTE L'ACTE DEVRA SYSTEMATIQUEMENT;07NOV2008:00:00:00;;13;4;0;0;0;2.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;;;B;60.00
1417;EXAMEN MICROSCOPIQUE DIRECT ET APRES COLORATION PERMETTANT D'IDENTIFIER LES DIFFERENTES CATEGORIES;07NOV2008:00:00:00;;13;4;0;0;0;5.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;1;;B;50.00
1418;DOSAGE DE L'AZOTE FECAL SOLUBLE.;07NOV2008:00:00:00;;13;4;0;0;0;8.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;1;;B;40.00
1419;DETERMINATION ELECTROMETRIQUE DU PH.;07NOV2008:00:00:00;;13;4;0;0;0;11.000000;90;AUTRES (tous les autres codes);25DEC2008:00:00:00;;;;1;;0;;;;;B;10.00
1420;RECHERCHE D'ANTICORPS SPECIFIQUES ANTI-TOXOPLASMA  DANS LE CADRE DU DEPISTAGE, DU DIAGNOSTIC ET DE L;01JAN1996:00:00:00;;19;0;0;0;0;46.000000;23;TOXOPLASMOSE;01FEB2019:00:00:00;;;;1;;0;1;;;1;B;40.00
1421;DEUXIEME PRELEVEMENT POUR CONFIRMATION OU ETUDE DE LA  CINETIQUE DES IGG A REALISER DANS LES CAS SUI;01JAN1996:00:00:00;;19;0;0;0;0;47.000000;23;TOXOPLASMOSE;01FEB2019:00:00:00;;;;1;;0;1;;1;1;B;60.00
1422;TOXOPLASMOSE CAS GENERAL : SUIVI : SD DE SURVEILLANCE  (2 ISOTYPES DIFFERENTS);01JAN1996:00:00:00;01FEB2019:00:00:00;7;5;0;0;0;78.000000;23;TOXOPLASMOSE;11FEB2011:00:00:00;01FEB2019:00:00:00;;;1;;0;;;;1;B;40.00
1423;TOXOPLASMOSE CAS GENERAL : SUIVI : SD DE CONTROLE (2  SERUMS EN PARALLELE);01JAN1996:00:00:00;01FEB2019:00:00:00;7;5;0;0;0;79.000000;23;TOXOPLASMOSE;30MAR1997:00:00:00;01FEB2019:00:00:00;;;1;;0;;;1;1;B;60.00
