SIN_MLP_TAB;SIN_MLP_BTR;SIN_SYN_LOP;SIN_SYN_PAT;SIN_MLP_LIB;TEC_COL
036;A;Z;R69X;Association de plusieurs syndromes du tableau;0
036;B;A;C44X;Epithélioma primitif de la peau;0
037;A;A;L23X;Dermites eczématiformes;0
037;B;A;J30X;Rhinite;0
037;B;A;J450;Asthme;0
037;B;Z;R69X;Association de plusieurs syndromes du tableau;0
037;T;A;C31X;Cancer primitif de l'ethmoïde et des sinus de la face;0
037;T;A;C34X;Cancer bronchique primitif;0
037;T;Z;R69X;Association de plusieurs syndromes du tableau;0
038;A;A;H102;Conjonctivite aiguë;0
038;A;A;H10X;Conjonctivite aiguë FIN CODE 20/06/2004;0
038;A;A;L23X;Lésions eczématiformes;0
038;A;Z;R69X;Association de plusieurs syndromes du tableau;0
039;A;A;G212;Syndrome neurologique du type parkinsonien;0
040;A;A;A182;Tuberculose ganglionnaire;0
040;A;A;A184;Tuberculose cutanée ou sous cutanée;0
040;A;A;A188;Autres localisations;0
040;A;A;M011;Ostéoarthrite;0
040;A;A;M680;Synovite;0
040;A;B;0000;Non précisé;0
040;A;B;A150;Tuberculose plumonaire  FIN CODE 01/01/2000;0
040;A;B;A152;Tuberculose pulmonaire;0
040;A;B;A156;Tuberculose pleurale;0
040;A;B;A157;Primo-infection;0
040;A;B;A188;Tuberculose extrathoracique;0
040;A;B;A18X;Tuberculose extrathoracique FIN CODE 20/06/2004;0
040;A;C;A310;Pneumopathies chroniques;0
040;A;D;A311;Infection cutanée ulcéreuse;0
040;A;Z;R69X;Association de plusieurs syndromes du tableau;0
041;A;A;J30X;Rhinite;0
041;A;A;J450;Asthme;0
041;A;A;L23X;Lésions eczématiformes;0
041;A;Z;R69X;Association de plusieurs syndromes du tableau;0
042;A;A;H833;Déficit audiométrique bilatéral par lésion cochléaire irréversible;0
043;A;A;0000;Non précisé;0
043;A;A;J30X;Rhinite;0
043;A;A;J450;Asthme;0
043;A;A;L23X;Lésions eczématiformes;0
043;A;A;L24X;Ulcérations cutanées FIN CODE 20/06/2004;0
043;A;A;L984;Dermites irritatives;0
043;A;Z;R69X;Association de plusieurs syndromes du tableau;0
043;B;A;C11X;Carcinome du nasopharynx  FIN CODE 15/01/2009;0
044;A;A;J43X;Manifestation pathologique associée : emphysème;0
044;A;A;J634;Sidérose;0
044;A;B;I500;Complication cardiaque FIN CODE 24/03/2005;0
044;A;B;I50X;Complication cardiaque FIN CODE 20/06/2004;0
044;A;B;J43X;Manifestation pathologique associée : emphysème;0
044;B;A;C34X;Cancer broncho-pulmonaire primitif;0
044;B;A;J43X;Emphysème;0
045;A;A;0000;Non précisé;0
045;A;A;B150;Hépatite fulminante à virus A;0
045;A;A;B159;Hépatite aiguë ou subaiguë à virus A;0
045;A;A;B15X;Hépatite à virus A  FIN CODE 01/01/2000;0
045;A;A;B16X;Hépatite à virus B  FIN CODE 01/01/2000;0
045;A;A;B172;Hépatite aiguë ou subaiguë ou fulminans à virus E;0
045;A;A;B17X;Hépatite à virus non A. non B  FIN CODE 01/01/2000;0
045;A;A;B188;Formes à rechutes d'une hépatite à virus A;0
045;A;A;K746;Cirrhose post-hépatitique  FIN CODE 01/01/2000;0
045;A;B;B160;Hépatite fulminante due à la co-infection d'une hépatite B par le virus D;0
045;A;B;B161;Hépatite aiguë due à la co-infection d'une hépatite B par le virus D;0
045;A;B;B162;Hépatite fulminante à virus B;0
045;A;B;B169;Hépatite aiguë à virus B avec ou sans manifestations ictériques;0
045;A;B;B171;Hépatite aiguë à virus C avec ou sans manifestations cliniques;0
045;A;B;B172;Hépatite aigüe ou subaigüe à virus E  FIN CODE 01/01/2000;0
045;A;B;B178;Hépatite fulminante à virus E FIN CODE 20/06/2004;0
045;A;B;B180;Hépatite chronique active due à la co-infection d'une hépatite B par le vir...;0
045;A;B;B181;Hépatite chronique à virus B active ou non;0
045;A;B;B182;Hépatite chronique à virus C active ou non;0
045;A;B;C220;Carcinome hépato-cellulaire post hépatite à virus B;0
045;A;B;D891;Manifestations extra-hépatiques dues à l'infection chronique par le virus C...;0
045;A;B;E801;Manifestations extra-hépatiques dues à l'infection chronique par le virus C...;0
045;A;B;K746;Cirrhose post hépatite à virus B;0
045;A;B;M30X;Manifestations extra-hépatiques dues à l'infection chronique par le virus B;0
045;A;B;R688;Manifestations extra-hépatiques dues à l'infection aiguë ou chronique par l...;0
045;A;C;B160;Hépatite fulminante à virus B FIN CODE 20/06/2004;0
045;A;C;B169;Hépatite aiguë à virus B avec ou sans manifestations ictériques FIN CODE 20/06/2004;0
045;A;C;B181;Hépatite chronique à virus B active ou non FIN CODE 20/06/2004;0
045;A;C;C220;Carcinome hépato-cellulaire post hépatite à virus C;0
045;A;C;K746;Cirrhose post hépatite à virus C;0
045;A;C;L99X;Manifestations extra-hépatiques dues à l'infection aiguë ou chronique par l. FIN CODE 20/06/2004;0
045;A;C;M30X;Manifestations extra-hépatiques dues à l'infection chronique par le virus B FIN CODE 20/06/2004;0
045;A;D;B160;Hépatite fulminante due à la co-infection d'une hépatite B par le virus D FIN CODE 20/06/2004;0
045;A;D;B161;Hépatite aiguë due à la co-infection d'une hépatite B par le virus D FIN CODE 20/06/2004;0
045;A;D;B180;Hépatite chronique active due à la co-infection d'une hépatite B par le vir.. FIN CODE 20/06/2004;0
045;A;E;B171;Hépatite aiguë à virus C avec ou sans manifestations cliniques FIN CODE 20/06/2004;0
045;A;E;B182;Hépatite chronique à virus C active ou non FIN CODE 20/06/2004;0
045;A;E;C220;Carcinome hépato-cellulaire post hépatite à virus C FIN CODE 20/06/2004;0
045;A;E;D891;Manifestations extra-hépatiques dues à l'infection chronique par le virus C.. FIN CODE 20/06/2004;0
045;A;E;E801;Manifestations extra-hépatiques dues à l'infection chronique par le virus C.. FIN CODE 20/06/2004;0
045;A;E;K746;Cirrhose post hépatite à virus B FIN CODE 20/06/2004;0
045;A;Z;R69X;Association de plusieurs syndromes du tableau;0
046;A;A;B354;Mycoses de la peau glabre;0
046;A;A;B355;Mycoses de la peau glabre FIN CODE 20/06/2004;0
046;A;B;B350;Mycoses du cuir chevelu;0
046;A;C;B353;Mycoses des orteils;0
046;A;Z;R69X;Association de plusieurs syndromes du tableau;0
047;A;A;H10X;Conjonctivite;0
047;A;A;J30X;Rhinite;0
047;A;A;J450;Asthme;0
047;A;A;J67X;Syndrome respiratoire;0
047;A;A;J841;Fibrose pulmonaire;0
047;A;A;L23X;Lésions eczématiformes;0
047;A;B;C300;Carcinome des fosses nasales;0
047;A;B;C31X;Cancer primitif de l'ethmoïde et des sinus de la face;0
047;A;Z;R69X;Association de plusieurs syndromes du tableau;0
049;A;A;J450;Asthme ou dyspnée asthmatiforme FIN CODE 20/06/2004;0
049;A;A;L23X;Dermites eczématiformes;0
049;A;A;R69X;Association de plusieurs syndromes du tableau FIN CODE 20/06/2004;0
049;B;A;J30X;Rhinite;0
049;B;A;J450;Asthme;0
049;B;Z;R69X;Association de plusieurs syndromes du tableau;0
050;A;A;D594;Anémie de type hémolytique;0
050;A;A;J30X;Rhinite;0
050;A;A;J450;Asthme;0
050;A;A;L23X;Lésions eczématiformes;0
050;A;Z;R69X;Association de plusieurs syndromes du tableau;0
051;A;A;L23X;Lésions eczématiformes;0
052;A;A;C49X;Angiosarcome;0
052;A;A;I738;Troubles angioneurotiques des doigts et des orteils;0
063;A;A;L23X;Lésions eczématiformes;0
063;A;A;L24X;Ulcérations cutanées FIN CODE 20/06/2004;0
063;A;A;L984;Ulcérations cutanées;0
063;A;Z;R69X;Association de plusieurs syndromes du tableau;0
064;A;A;T58X;Céphalées. asthénie. vertiges. nausées;0
065;A;A;L23X;Lésions eczématiformes;0
066;A;A;0000;Non précisé;0
066;A;A;J30X;Rhinite;0
066;A;A;J450;Asthme;0
066;A;A;J961;Insuffisance respiratoire chronique;0
066;A;B;J67X;Syndrome respiratoire fébrile FIN CODE 20/06/2004;0
066;A;B;J841;Fibrose pulmonaire FIN CODE 20/06/2004;0
066;A;Z;R69X;Association de plusieurs syndromes du tableau;0
066;B;A;I500;Insuffisance ventriculaire droite;0
066;B;A;J67X;Bronchoalvéolite aiguë ou subaiguë;0
066;B;A;J841;Fibrose pulmonaire;0
066;B;Z;R69X;Association de plusieurs syndromes du tableau;0
067;A;A;J340;Ulcérations nasales;0
067;A;A;J348;Perforations nasales;0
068;A;A;A21X;Grandes formes cliniques ou aspect atypique;0
069;A;0;0000;Non précisé;0
069;A;A;I730;Troubles angioneurotiques de la main  FIN CODE 08/08/2008;0
069;A;A;I73A;Troubles angioneurotiques de la main droite;0
069;A;A;I73B;Troubles angioneurotiques de la main gauche;0
069;A;A;M192;Arthrose du coude  FIN CODE 08/08/2008;0
069;A;A;M19A;Arthrose du coude droit;0
069;A;A;M19B;Arthrose du coude gauche;0
069;A;A;M931;Ostéonécrose du semi-lunaire (maladie de Kienböck)  FIN CODE 08/08/2008;0
069;A;A;M938;Ostéonécrose du scaphoïde carpien (maladie de Kölher)  FIN CODE 08/08/2008;0
069;A;A;M93A;Ostéonécrose du semi-lunaire (maladie de Kienböck) D;0
069;A;A;M93B;Ostéonécrose du semi-lunaire (maladie de Kienböck) G;0
069;A;A;M93C;Ostéonécrose du scaphoïde carpien (maladie de Kölher) D;0
069;A;A;M93D;Ostéonécrose du scaphoïde carpien (maladie de Kölher) G;0
069;A;B;M192;Arthrose du coude  FIN CODE 08/08/2008;0
069;A;B;M19A;Arthrose du coude droite;0
069;A;B;M19B;Arthrose du coude gauche;0
069;A;B;M19C;Arthrose du coude droite;0
069;A;B;M19D;Arthrose du coude gauche;0
069;A;B;M931;Ostéonécrose du semi-lunaire (maladie de Kienböck)  FIN CODE 08/08/2008;0
069;A;B;M938;Ostéonécrose du scaphoïde carpien (maladie de Kölher)  FIN CODE 08/08/2008;0
069;A;B;M93A;Ostéonécrose du semi-lunaire (maladie de Kienböck) D;0
069;A;B;M93B;Ostéonécrose du semi-lunaire (maladie de Kienböck) G;0
069;A;B;M93C;Ostéonécrose du scaphoïde carpien (maladie de Kölher) D;0
069;A;B;M93D;Ostéonécrose du scaphoïde carpien (maladie de Kölher) G;0
069;A;C;I730;Atteinte vasculaire cubito-palmaire  FIN CODE 08/08/2008;0
052;A;A;K766;Syndrome d'hypertension portale;0
052;A;A;M895;Ostéolyse des phalanges unguéales des mains;0
052;A;Z;R69X;Association de plusieurs syndromes du tableau;0
053;A;A;A799;Rickettsioses;0
053;A;A;C220;Affections dues aux rickettsies : Rickettsioses;0
053;A;B;A78X;Manifestations cliniques aiguës;0
053;A;B;I330;Endocardite FIN CODE 20/06/2004;0
053;A;B;I39X;Endocardite;0
053;A;B;K770;Hépatite granulomateuse;0
053;A;Z;R69X;Association de plusieurs syndromes du tableau;0
054;A;A;A80X;Poliomyélite;0
055;A;A;A06X;Manifestations aiguës de l'amibiase (hépatite amibienne);0
056;A;A;A82X;Toutes manifestations de la rage;0
056;A;A;Y59X;Affections imputables à la séro ou vaccinothérapie antirabique;0
057;A;0;0000;Non précisé;0
057;A;A;M750;Epaule enraidie  FIN CODE 08/08/2008;0
057;A;A;M751;Epaule douloureuse  FIN CODE 08/08/2008;0
057;A;A;M755;Epaule douloureuse FIN CODE 20/06/2004;0
057;A;A;M75A;Epaule enraidie droite;0
057;A;A;M75B;Epaule enraidie gauche;0
057;A;A;M75C;Epaule douloureuse droite;0
057;A;A;M75D;Epaule douloureuse gauche;0
057;A;A;M96A;Coiffe des rotateurs : tendinopathie aiguê non rompue                                                                                                                                    ,non calcifiante (avec/sans enthésopathies) G;0
057;A;A;M96B;Coiffe des rotateurs : tendinopathie aiguê non rompue                                                                                                                                    ,non calcifiante (avec/sans enthésopathies) D;0
057;A;A;M96C;Coiffe des rotateurs : tendinopathie chronique non rompue                                                                                                                                ,non calcifiante avec IRM - D;0
057;A;A;M96D;Coiffe des rotateurs : tendinopathie chronique non rompue                                                                                                                                ,non calcifiante avec IRM - G;0
057;A;A;M96E;Coiffe des rotateurs : rupture partielle ou transfixiante objectivée par IRM droite;0
057;A;A;M96F;Coiffe des rotateurs : rupture partielle ou transfixiante objectivée par IRM gauche;0
057;A;B;0000;Non précisé;0
057;A;B;G562;Syndrome de la gouttière épitrochléo-olécranienne (compression du nerf cubi.  FIN CODE 08/08/2008;0
057;A;B;G56A;Coude : synd de la gouttière épitrochléo-olécranienne (compression du nerf cubital) D;0
057;A;B;G56B;Coude : synd de la gouttière épitrochléo-olécranienne (compression du nerf cubital) G;0
057;A;B;M703;Hygroma aigu du coude  FIN CODE 08/08/2008;0
057;A;B;M708;Hygroma chronique du coude  FIN CODE 08/08/2008;0
057;A;B;M70A;Coude : hygroma aigu droit;0
057;A;B;M70B;Coude : hygroma aigu gauche;0
057;A;B;M70C;Coude : hygroma chronique droit;0
057;A;B;M70D;Coude : hygroma chronique gauche;0
057;A;B;M770;Epitrochléite  FIN CODE 08/08/2008;0
057;A;B;M771;Epicondylite  FIN CODE 08/08/2008;0
057;A;B;M77A;Coude : épitrochléite droite;0
057;A;B;M77B;Coude : épitrochléite gauche;0
057;A;B;M77C;Coude : épicondylite droite;0
057;A;B;M77D;Coude : épicondylite gauche;0
057;A;C;G560;Syndrome du canal carpien  FIN CODE 08/08/2008;0
057;A;C;G562;Syndrome de la loge de Guyon  FIN CODE 08/08/2008;0
057;A;C;G56C;Poignet main doigts : syndrome du canal carpien droit;0
057;A;C;G56D;Poignet main doigts : syndrome du canal carpien gauche;0
057;A;C;G56E;Poignet main doigts : syndrome de la loge de Guyon droite;0
057;A;C;G56F;Poignet main doigts : syndrome de la loge de Guyon gauche;0
057;A;C;M659;Ténosynovite  FIN CODE 08/08/2008;0
057;A;C;M65A;Poignet main doigts : ténosynovite droite;0
057;A;C;M65B;Poignet main doigts : ténosynovite gauche;0
057;A;C;M778;Tendinite  FIN CODE 08/08/2008;0
057;A;C;M77E;Poignet main doigts : tendinite droite;0
057;A;C;M77F;Poignet main doigts : tendinite gauche;0
057;A;D;0000;Non précisé;0
057;A;D;G573;Syndrome de compression du nerf sciatique poplité externe  FIN CODE 08/08/2008;0
057;A;D;G57A;Genou : synd de compression du nerf sciatique poplité externe D;0
057;A;D;G57B;Genou : synd de compression du nerf sciatique poplité externe G;0
057;A;D;G57C;Affections périarticulaires provoquées par certains gestes et postures de travail : Hygroma chronique du genou;0
057;A;D;G57D;Affections périarticulaires provoquées par certains gestes et postures de travail : Hygroma aigu du genou droit;0
057;A;D;M705;Hygroma aigu du genou  FIN CODE 08/08/2008;0
057;A;D;M708;Hygroma chronique du genou  FIN CODE 08/08/2008;0
057;A;D;M70E;Genou : hygroma aigu droit;0
057;A;D;M70F;Genou : hygroma aigu gauche;0
057;A;D;M70G;Genou : hygroma chronique droit;0
057;A;D;M70H;Genou : hygroma chronique gauche;0
057;A;D;M765;Tendinite sous-quadricipitale ou rotulienne  FIN CODE 08/08/2008;0
057;A;D;M768;Tendinite de la patte d'oie  FIN CODE 08/08/2008;0
057;A;D;M76A;Genou : tendinite sous-quadricipitale ou rotulienne droite;0
057;A;D;M76B;Genou : tendinite sous-quadricipitale ou rotulienne gauche;0
057;A;D;M76C;Genou : tendinite de la patte d'oie droite;0
057;A;D;M76D;Genou : tendinite de la patte d'oie gauche;0
057;A;D;M76G;Affections périarticulaires provoquées par certains gestes et postures de travail : Association de plusieurs syndromes du tableau;0
057;A;D;M76H;Affections professionnelles provoquées par le travail à haute température : Crampes musculaires avec sueurs profuses;0
057;A;D;M76I;Affections professionnelles provoquées par le travail à haute température : Oligurie;0
057;A;D;M76J;Affections professionnelles provoquées par le travail à haute température : Association de plusieurs syndromes du tableau;0
057;A;D;M76K;Intoxication professionnelle à l'hexane : Polynévrites;0
057;A;D;M76L;Maladies professionnelles provoquées par le cadmium et ses composés : Bronchopneumopathie aiguë;0
057;A;D;M76M;Maladies professionnelles provoquées par le cadmium et ses composés : Ostéomalacie;0
057;A;D;M76N;Maladies professionnelles provoquées par le cadmium et ses composés : Néphropathie avec protéinurie;0
057;A;E;M766;Tendinite achilléenne  FIN CODE 08/08/2008;0
057;A;E;M76E;Cheville pied : tendinite achilléenne droite;0
057;A;E;M76F;Cheville pied : tendinite achilléenne gauche;0
057;A;E;M76O;Maladies professionnelles provoquées par les isocyanates organiques : Blépharo-conjonctivite récidivante;0
057;A;E;M76P;Maladies professionnelles provoquées par les isocyanates organiques : Rhinite;0
057;A;Z;R69X;Association de plusieurs syndromes du tableau;0
058;A;A;R252;Crampes musculaires avec sueurs profuses;0
058;A;A;R34X;Oligurie;0
058;A;Z;R69X;Association de plusieurs syndromes du tableau;0
059;A;A;G622;Polynévrites;0
061;A;A;J680;Bronchopneumopathie aiguë;0
061;A;A;M838;Ostéomalacie FIN CODE 20/06/2004;0
061;A;A;M83X;Ostéomalacie;0
061;A;A;N143;Néphropathie avec protéinurie FIN CODE 20/06/2004;0
061;A;A;N14X;Néphropathie avec protéinurie;0
061;A;A;R11X;Troubles gastro-intestinaux aigus;0
061;A;Z;R69X;Association de plusieurs syndromes du tableau;0
061;B;A;C34X;Cancer broncho-pulmonaire primitif;0
062;A;A;0000;Non précisé;0
062;A;A;H105;Blépharo-conjonctivite récidivante;0
062;A;A;J30X;Rhinite;0
062;A;A;J311;Rhino-pharyngite récidivante FIN CODE 20/06/2004;0
062;A;A;J40X;Syndrome bronchique récidivant;0
062;A;A;J450;Asthme;0
062;A;A;J68X;Pneumopathie interstitielle d'hypersensibilité aiguë ou subaiguë;0
062;A;A;L23X;Lésions eczématiformes;0
062;A;B;J68X;Pneumopathie d'hypersensibilité chronique;0
062;A;Z;R69X;Association de plusieurs syndromes du tableau;0
063;A;A;H102;Conjonctivite aiguë bilatérale;0
063;A;A;J30X;Rhinite;0
