ETB_STJ_COD;ETB_PPU_SEC;ETB_STJ_LIB;ETB_ORG_TYP;ETB_ORG_LIB;TEC_COL
40;2;REGIME GENERALSECURITESOCIALE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
41;2;REGIMESPECIALSECURITESOCIALE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
42;2;INSTITUTION DE PREVOYANCE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
43;2;MUTUALITESOCIALE AGRICOLE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
44;2;REGIME MALADIE DES PROFESSIONS INDEPENDANTES;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
45;2;REGIME VIEILLESSE DIFFERENT DU REGIME GENERAL;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
46;2;AUTRE REGIME DE PREVOYANCESOCIALE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
47;2;SOCIETE MUTUALISTE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
48;2;ASSURANCE MUTUELLE AGRICOLE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
49;2;AUTRE ORGANISME MUTUALISTE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
4;1;REGION;1;ETAT ET COLLECTIVITES TERRITORIALES;0
50;2;COMITE D ENTREPRISE ET D ETABLISSEMENT;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
51;2;SYNDICAT;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
52;2;SYNDICAT DE PROPRIETAIRES;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
5;1;TERRITOIRE D OUTRE MER;1;ETAT ET COLLECTIVITES TERRITORIALES;0
60;2;ASSOCIATION 1901 NON RECONNUE D UTILITE PUBLIQUE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
61;2;ASSOCIATION 1901 RECONNUE D UTILITE PUBLIQUE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
62;2;ASSOCIATION DROIT LOCAL (BAS-RHIN, HAUT-RHIN, MOSELLE);3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
63;2;FONDATION;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
64;2;CONGREGATION;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
65;2;AUTRE ORGANISME PRIVE A BUT NON LUCRATIF;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
6;1;AUTRE COLLECTIVITE TERRITORIALE;1;ETAT ET COLLECTIVITES TERRITORIALES;0
70;2;PERSONNE PHYSIQUE;4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
71;2;SOCIETE EN NOM COLLECTIF (S.N.C.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
72;2;SOCIETE A RESPONSABILITE LIMITEE (S.A.R.L.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
73;2;SOCIETE ANONYME (S.A.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
74;2;SOCIETE CIVILE;4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
75;2;AUTRE SOCIETE  (COMMANDITE, COOPERATIVE COMMERCIALE PARTICULIERE, INDIVISION,SOCIETE DE FAIT,SOCIETE EN PARTICIPATION,SOCIETE COMMERCIALE PARTICULIERE);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
76;2;GROUPEMENT  D INTERET  ECONOMIQUE (G.I.E.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
77;2;AUTRE ORGANISME PRIVE A CARACTERE COMMERCIAL;4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
78;2;ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE (E.U.R.L.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
79;2;SOCIETE CIVILE DE MOYENS (S.C.M.);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
85;2;SOCIETE D EXERCICE LIBERAL A RESPONSABILITE LIMITEE (S.E.L.A.R.L.);5;SOCIETE D EXERCICE LIBERAL;0
86;2;SOCIETE D EXERCICE LIBERAL A FORME ANONYME (S.E.L.A.F.A.);5;SOCIETE D EXERCICE LIBERAL;0
87;2;SOCIETE D EXCERCICE LIBERAL EN COMMANDITE PAR ACTIONS (S.E.L.C.A.);5;SOCIETE D EXERCICE LIBERAL;0
88;2;SOCIETE CIVILE PROFESSIONNELLE;5;SOCIETE D EXCERCICE LIBERAL;0
89;2;GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PRIVEE;3;ORGANISMES PRIVES A BUT NON LUCRATIF;0
90;2;PERSONNE MORALE DE DROIT ETRANGER;7;AUTRES ORGANISMES PRIVES;0
99;9;VALEUR INCONNUE;9;VALEUR INCONNUE;1
80;2;Soc. Interprof. de soins ambulatoires (SISA);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
95;2;SOCIETE PAR ACTIONS SIMPLIFIEES ( SAS);4;ORGANISMES PRIVES A CARACTERE COMMERCIAL;0
